"h2","kappa","latent_scale","seed","aed_sq_mean","aed_sq_min","aed_sq_q05","aed_sq_median","aed_sq_q95","aed_sq_max","aed_unsq_mean","gini_t2","t2_total","t2_max_clone","t2_zero_clones","spearman_aed_t2size"
0.9,1.5,1,20,0.0952917586413204,0.0121851500246163,0.0205439339400966,0.0743261724546719,0.23667316004303,0.427253501548392,0.287324970310143,0.664865849619079,3019,439,2,-0.233758132055462
0.75,1.5,1,20,0.228312695627273,0.0276524335581165,0.0434152310324545,0.182535916831626,0.562161108003985,0.940892267770785,0.445253268414785,0.625994623655914,2976,344,3,-0.050864407966409
0.5,1.5,1,20,0.453259185247771,0.0410540604573363,0.075284344168046,0.393074858805102,1.08867965292891,1.57568999675774,0.632571510957702,0.534638453848717,3001,198,0,0.0923439242958739
0.25,1.5,1,20,0.69413301997077,0.0771380007078785,0.124715190222569,0.639350729944458,1.57364030278652,1.98151479126337,0.795802654863214,0.449402298850575,3045,124,0,0.196910093496475
0.1,1.5,1,20,0.850436678022838,0.103078832244417,0.152848976641182,0.786355620228677,1.88176006732463,2.30304400281713,0.891041162571768,0.426178132269857,3009,163,0,0.371013140763543
0,1.5,1,20,0.957465978300326,0.11693811532955,0.188006501834406,0.909444563815542,2.07990498415557,2.4723556464991,0.955106294040445,0.479460834181078,2949,256,0,0.543370912261044
0.9,1,1,20,0.0949238817371423,0.00823120711900052,0.0104157357958858,0.0632428516045966,0.31925006480086,0.609125975398844,0.274624082792911,0.669128409846973,3006,416,3,-0.0176983770273066
0.75,1,1,20,0.226002881016642,0.00749614310797958,0.0133171904888797,0.153970255957724,0.727635316391805,1.18338357282097,0.420759202738283,0.623947280613947,2997,298,2,0.0766057565301271
0.5,1,1,20,0.448231916345245,0.0128793933204804,0.0332236638820212,0.33329614400728,1.37453815894677,1.84273861454413,0.601488288242142,0.561499321573948,2948,190,0,0.197584290841919
0.25,1,1,20,0.669854268908031,0.0124769774730231,0.0476777594380251,0.548994686323369,1.86735427483042,2.17398203778064,0.75536544816031,0.582007952286282,3018,300,0,0.365548162356743
0.1,1,1,20,0.816543527087493,0.0203127733102632,0.0582042837649085,0.670651586218578,2.17746336803062,2.53163440127969,0.848524352834055,0.599996656636576,2991,282,1,0.496152849596262
0,1,1,20,0.916892561379826,0.0208779487522634,0.0699788902066141,0.7700926685491,2.35671018089471,2.65150614981193,0.916348024328926,0.639532458795829,2973,323,0,0.55096053765385
0,Inf,0.3,10,0.994019392063199,0.588872869448295,0.743695838225398,0.969022732461192,1.26372012149378,1.46732110893562,0.996199152558042,0.141425702811245,2988,50,0,0.073966210002944
0,1.5,0.3,10,1.00132145844407,0.113973692248709,0.231321097695984,0.828952510557169,2.18554354202149,3.20828584069268,0.974994243755982,0.155650016539861,3023,73,0,0.325556034643758
0,Inf,0.5,10,0.994822018246301,0.64522926793871,0.76539441773764,0.982159835169916,1.24764822643759,1.42572655076306,0.996864339807721,0.177242881072027,2985,65,0,-0.0307162967324073
0,1.5,0.5,10,1.00116527561006,0.057435220221883,0.140225677030891,0.826209479807926,2.40048884103529,3.11438063416606,0.969770684442773,0.241817265703729,2977,133,0,0.437632092675983
0,Inf,0.7,10,0.993211092286305,0.667843439568282,0.764026861348402,0.98470897445648,1.21597102653788,1.42265526054072,0.996114791950331,0.253170163170163,3003,113,0,-0.0195289187239034
0,1.5,0.7,10,0.976356282752968,0.0423168145073024,0.161403442300171,0.786252024657748,2.14527644339787,2.59253149723764,0.960025609777315,0.431708346865866,3079,301,0,0.576780358527816
0,Inf,0.3,20,1.00189544335677,0.690986238553117,0.74921875451539,0.980925431563706,1.29824122359485,1.44715042762204,1.00125809386726,0.12413921901528,2945,45,0,-0.146182029135632
0,1.5,0.3,20,1.00687547322705,0.192834402874873,0.258539800209379,0.820849914286897,2.38863168202639,3.42261599911524,0.978891325460823,0.13135752688172,2976,53,0,0.325111057468439
0,Inf,0.5,20,1.00136999792482,0.643275021114429,0.771643553184384,1.00166824536533,1.22467064599797,1.57692415336276,1.00116192244898,0.171368385574655,2967,55,0,0.105158569683344
0,1.5,0.5,20,0.99820839152973,0.143026431411665,0.180686155172127,0.853564660201377,2.52874498439429,3.45326617011746,0.969909962950746,0.191325706594886,2972,74,0,0.409516141480411
0,Inf,0.7,20,1.00085927387406,0.627345575982203,0.779124376120853,1.01452217786626,1.21591968844534,1.51798568438539,1.00045593775878,0.245464127847671,2941,71,0,0.013955489017936
0,1.5,0.7,20,0.98210742294438,0.115038413360517,0.17057271426575,0.866479980297991,2.36185659161785,3.16280788128492,0.962691632061209,0.291726091302899,3001,131,0,0.450030324177986
